time;Total_Hs (m);Total_Tp (s);Total_Tm02 (s);Total_Tm10 (s);Total_Dir (°);Total_Dir_Compass;WW_Hs (m);WW_Tm01 (s);WW_Dir (°);WW_Dir_Compass;S1_Hs (m);S1_Tm01 (s);S1_Dir (°);S1_Dir_Compass;S2_Hs (m);S2_Tm01 (s);S2_Dir (°);S2_Dir_Compass
2025-11-21 12:00:00;0.6;8.2;4.0;6.2;295.0;V;0.1;1.8;303.0;V;0.5;5.3;284.0;V;0.0;3.7;333.0;NV
2025-11-21 13:00:00;0.5;8.2;4.1;6.2;295.0;V;0.1;1.6;304.0;V;0.5;5.2;285.0;V;0.0;2.6;333.0;NV
2025-11-21 14:00:00;0.5;8.1;4.2;6.3;295.0;V;0.1;1.5;305.0;V;0.5;5.2;284.0;V;0.0;2.2;345.0;NV
2025-11-21 15:00:00;0.5;8.0;4.2;6.2;295.0;V;0.1;1.6;295.0;V;0.5;5.4;284.0;V;0.0;3.7;129.0;Ø
2025-11-21 16:00:00;0.5;8.0;4.0;6.0;295.0;V;0.1;1.7;288.0;V;0.5;5.3;282.0;V;0.0;2.5;332.0;NV
2025-11-21 17:00:00;0.5;7.9;3.6;5.6;295.0;V;0.2;1.9;284.0;V;0.4;6.1;291.0;V;0.3;3.6;254.0;SV
2025-11-21 18:00:00;0.5;7.9;3.5;5.4;295.0;V;0.2;1.8;289.0;V;0.4;3.7;263.0;SV;0.4;6.9;297.0;V
2025-11-21 19:00:00;0.6;7.6;3.6;5.2;295.0;V;0.1;1.4;279.0;V;0.3;6.5;291.0;V;0.2;9.1;308.0;V
2025-11-21 20:00:00;0.6;7.4;3.4;5.0;295.0;V;0.2;2.1;269.0;SV;0.3;7.7;298.0;V;0.2;6.4;293.0;V
2025-11-21 21:00:00;0.6;4.4;3.3;4.8;295.0;V;0.3;2.3;262.0;SV;0.5;4.3;267.0;SV;0.3;7.6;297.0;V
2025-11-21 22:00:00;0.7;4.2;3.2;4.4;265.0;SV;0.5;2.8;256.0;SV;0.3;4.4;291.0;V;0.3;5.6;255.0;SV
2025-11-21 23:00:00;0.9;4.4;3.4;4.4;265.0;SV;0.7;3.2;250.0;SV;0.4;5.4;292.0;V;0.2;5.7;264.0;SV
2025-11-22 00:00:00;1.1;4.8;3.7;4.5;265.0;SV;1.0;3.8;253.0;SV;0.3;6.6;294.0;V;0.2;5.1;297.0;V
2025-11-22 01:00:00;1.4;5.4;4.1;4.9;265.0;SV;1.3;4.3;255.0;SV;0.5;6.3;297.0;V;0.1;7.9;264.0;SV
2025-11-22 02:00:00;1.5;5.8;4.4;5.3;265.0;SV;1.3;4.4;246.0;SV;0.7;6.1;291.0;V;0.3;7.2;261.0;SV
2025-11-22 03:00:00;1.6;6.1;4.5;5.4;264.0;SV;1.4;4.5;242.0;SV;0.7;6.4;289.0;V;0.4;7.2;261.0;SV
2025-11-22 04:00:00;1.8;6.3;4.7;5.6;264.0;SV;1.6;4.8;245.0;SV;0.6;6.8;294.0;V;0.3;7.6;279.0;V
2025-11-22 05:00:00;2.0;6.6;4.9;5.9;264.0;SV;1.8;5.1;247.0;SV;0.7;7.2;294.0;V;0.3;8.2;258.0;SV
2025-11-22 06:00:00;2.2;6.9;5.2;6.2;265.0;SV;1.9;5.3;250.0;SV;0.8;7.9;291.0;V;0.3;6.5;199.0;S
2025-11-22 07:00:00;2.2;7.2;5.4;6.4;265.0;SV;1.8;5.3;249.0;SV;1.1;7.6;287.0;V;0.3;8.1;214.0;S
2025-11-22 08:00:00;2.2;7.4;5.4;6.5;265.0;SV;1.8;5.2;245.0;SV;1.3;7.7;284.0;V;0.2;8.5;216.0;S
2025-11-22 09:00:00;2.3;7.5;5.5;6.6;265.0;SV;1.7;5.1;241.0;SV;1.4;7.7;280.0;V;0.3;8.0;204.0;S
2025-11-22 10:00:00;2.2;7.5;5.4;6.6;265.0;SV;1.4;4.6;233.0;SV;1.5;7.1;267.0;SV;0.8;8.9;288.0;V
2025-11-22 11:00:00;2.2;7.5;5.4;6.6;265.0;SV;1.3;4.5;230.0;SV;1.5;7.0;266.0;SV;0.8;8.9;288.0;V
2025-11-22 12:00:00;2.2;7.5;5.4;6.6;265.0;SV;1.3;4.4;225.0;S;1.5;7.0;263.0;SV;0.8;9.0;287.0;V
2025-11-22 13:00:00;2.2;7.5;5.4;6.6;265.0;SV;1.3;4.4;219.0;S;1.3;7.3;282.0;V;1.1;7.1;247.0;SV
2025-11-22 14:00:00;2.2;7.5;5.4;6.6;265.0;SV;1.4;4.7;221.0;S;1.6;7.5;264.0;SV;0.2;7.0;189.0;S
2025-11-22 15:00:00;2.3;7.5;5.5;6.7;255.0;SV;1.4;4.7;220.0;S;1.5;7.2;254.0;SV;0.8;9.0;280.0;V
2025-11-22 16:00:00;2.3;7.6;5.6;6.8;255.0;SV;1.2;4.2;214.0;S;1.5;7.3;271.0;V;1.3;7.2;219.0;S
2025-11-22 17:00:00;2.3;7.6;5.6;6.8;255.0;SV;1.2;4.2;215.0;S;1.5;7.5;269.0;SV;1.2;7.2;215.0;S
2025-11-22 18:00:00;2.3;7.6;5.5;6.8;254.0;SV;1.1;4.1;213.0;S;1.9;7.2;249.0;SV;0.1;1.1;186.0;S
2025-11-22 19:00:00;2.2;7.7;5.5;6.8;245.0;SV;1.0;3.8;211.0;S;2.0;7.1;243.0;SV;0.0;0.0;180.0;S
2025-11-22 20:00:00;2.2;7.7;5.4;6.8;245.0;SV;1.0;3.9;214.0;S;1.9;7.1;242.0;SV;0.0;0.0;180.0;S
2025-11-22 21:00:00;2.2;7.7;5.5;6.8;235.0;SV;0.9;3.6;215.0;S;2.0;7.0;238.0;SV;0.0;6.6;70.0;NØ
2025-11-22 22:00:00;2.2;7.7;5.5;6.8;235.0;SV;0.9;3.7;225.0;S;2.0;7.0;235.0;SV;0.0;0.0;180.0;S
2025-11-22 23:00:00;2.1;7.7;5.6;6.9;235.0;SV;0.5;2.9;229.0;SV;2.1;6.6;231.0;SV;0.0;0.0;180.0;S
2025-11-23 00:00:00;2.1;7.8;5.7;7.0;225.0;S;0.3;2.4;241.0;SV;2.0;6.5;228.0;SV;0.0;0.0;180.0;S
2025-11-23 01:00:00;2.0;7.9;5.8;7.0;225.0;S;0.2;1.9;254.0;SV;2.0;6.5;226.0;SV;0.0;0.0;180.0;S
2025-11-23 02:00:00;1.9;7.9;5.8;7.1;205.0;S;0.1;1.6;261.0;SV;1.9;6.4;224.0;S;0.0;0.0;180.0;S
2025-11-23 03:00:00;1.9;7.9;5.8;7.1;205.0;S;0.1;1.5;270.0;SV;1.9;6.4;222.0;S;0.0;1.5;189.0;S
2025-11-23 04:00:00;1.8;7.9;5.8;7.1;205.0;S;0.0;0.0;293.0;V;1.8;6.3;219.0;S;0.3;10.6;296.0;V
2025-11-23 05:00:00;1.7;7.9;5.9;7.1;205.0;S;0.0;0.0;319.0;NV;1.7;6.4;220.0;S;0.0;1.5;189.0;S
2025-11-23 06:00:00;1.7;7.9;5.9;7.1;205.0;S;0.0;0.0;34.0;N;1.7;6.4;217.0;S;0.3;10.3;295.0;V
2025-11-23 07:00:00;1.7;7.9;5.9;7.1;205.0;S;0.0;0.0;69.0;NØ;1.7;6.4;214.0;S;0.3;10.6;293.0;V
2025-11-23 08:00:00;1.7;7.9;6.0;7.2;205.0;S;0.0;0.0;74.0;NØ;1.7;6.4;211.0;S;0.3;10.7;294.0;V
2025-11-23 09:00:00;1.7;7.9;6.0;7.2;196.0;S;0.0;1.4;68.0;NØ;1.6;6.5;205.0;S;0.5;6.9;295.0;V
2025-11-23 10:00:00;1.7;7.9;6.1;7.3;186.0;S;0.0;1.5;70.0;NØ;1.6;6.6;203.0;S;0.5;6.8;294.0;V
2025-11-23 11:00:00;1.7;7.9;6.1;7.3;185.0;S;0.0;1.5;75.0;NØ;1.6;6.6;200.0;S;0.5;6.8;293.0;V
2025-11-23 12:00:00;1.7;8.0;6.3;7.4;185.0;S;0.0;1.5;95.0;Ø;1.6;6.8;198.0;S;0.5;6.9;290.0;V
